COD_CIDADE;CIDADE;COD_UF;UF
350010;ADAMANTINA;35;SP
350020;ADOLFO;35;SP
350030;AGUAI;35;SP
350040;AGUAS DA PRATA;35;SP
350050;AGUAS DE LINDOIA;35;SP
350055;AGUAS DE SANTA BARBARA;35;SP
350060;AGUAS DE SAO PEDRO;35;SP
350070;AGUDOS;35;SP
350075;ALAMBARI;35;SP
350080;ALFREDO MARCONDES;35;SP
350090;ALTAIR;35;SP
350100;ALTINOPOLIS;35;SP
350110;ALTO ALEGRE;35;SP
350115;ALUMINIO;35;SP
350120;ALVARES FLORENCE;35;SP
350130;ALVARES MACHADO;35;SP
350140;ALVARO DE CARVALHO;35;SP
350150;ALVINLANDIA;35;SP
350160;AMERICANA;35;SP
350170;AMERICO BRASILIENSE;35;SP
350180;AMERICO DE CAMPOS;35;SP
350190;AMPARO;35;SP
350200;ANALANDIA;35;SP
350210;ANDRADINA;35;SP
350220;ANGATUBA;35;SP
350230;ANHEMBI;35;SP
350240;ANHUMAS;35;SP
350250;APARECIDA;35;SP
350260;APARECIDA D'OESTE;35;SP
350270;APIAI;35;SP
350275;ARACARIGUAMA;35;SP
350280;ARACATUBA;35;SP
350290;ARACOIABA DA SERRA;35;SP
350300;ARAMINA;35;SP
350310;ARANDU;35;SP
350315;ARAPEI;35;SP
350320;ARARAQUARA;35;SP
350330;ARARAS;35;SP
350335;ARCO-IRIS;35;SP
350340;AREALVA;35;SP
350350;AREIAS;35;SP
350360;AREIOPOLIS;35;SP
350370;ARIRANHA;35;SP
350380;ARTUR NOGUEIRA;35;SP
350390;ARUJA;35;SP
350395;ASPASIA;35;SP
350400;ASSIS;35;SP
350410;ATIBAIA;35;SP
350420;AURIFLAMA;35;SP
350430;AVAI;35;SP
350440;AVANHANDAVA;35;SP
350450;AVARE;35;SP
350460;BADY BASSITT;35;SP
